petal_height,petal_width,opening_degree,layer_index,curvature_intensity,bone_root_start_x,bone_root_start_y,bone_root_end_x,bone_root_end_y,bone_middle_start_x,bone_middle_start_y,bone_middle_end_x,bone_middle_end_y,bone_tip_start_x,bone_tip_start_y,bone_tip_end_x,bone_tip_end_y,bone_left_lower_start_x,bone_left_lower_start_y,bone_left_lower_end_x,bone_left_lower_end_y,bone_left_upper_start_x,bone_left_upper_start_y,bone_left_upper_end_x,bone_left_upper_end_y,bone_right_lower_start_x,bone_right_lower_start_y,bone_right_lower_end_x,bone_right_lower_end_y,bone_right_upper_start_x,bone_right_upper_start_y,bone_right_upper_end_x,bone_right_upper_end_y
2.424744,1.256395,0.428194,2,0.782507,0.0,0.0,0.0,0.62089,0.0,0.606186,0.0,1.49318,0.0,1.454846,0.0,2.503858,0.0,0.606186,-0.175565,0.6664,0.0,1.454846,-0.118618,1.495367,0.0,0.606186,0.172324,0.64872,0.0,1.454846,0.129156,1.604174
4.514279,2.818209,0.164815,1,0.903514,0.0,0.0,0.0,1.001376,0.0,1.015713,0.0,2.42677,0.0,2.437711,0.0,4.190915,0.0,1.015713,-0.326219,1.093143,0.0,2.437711,-0.232911,2.465109,0.0,1.015713,0.301371,1.098535,0.0,2.437711,0.238198,2.598236
8.781403,1.061945,0.530885,2,1.22778,0.0,0.0,0.0,2.208358,0.0,2.195351,0.0,5.423125,0.0,5.268842,0.0,9.241653,0.0,2.195351,-0.240245,2.375613,0.0,5.268842,-0.183863,5.681114,0.0,2.195351,0.236614,2.33549,0.0,5.268842,0.178923,5.505247
5.532041,2.167844,0.256743,1,0.95724,0.0,0.0,0.0,1.237851,0.0,1.244709,0.0,3.024367,0.0,2.987302,0.0,5.066143,0.0,1.244709,-0.298163,1.445015,0.0,2.987302,-0.216655,3.209817,0.0,1.244709,0.270631,1.354368,0.0,2.987302,0.202696,3.090669
2.662437,0.495205,0.503991,0,1.338625,0.0,0.0,0.0,0.523573,0.0,0.532487,0.0,1.308607,0.0,1.27797,0.0,2.207717,0.0,0.532487,-0.095841,0.563622,0.0,1.27797,-0.068804,1.363718,0.0,0.532487,0.096332,0.567934,0.0,1.27797,0.069792,1.371924
2.239704,2.025775,0.992656,1,0.680191,0.0,0.0,0.0,0.542826,0.0,0.503933,0.0,1.196732,0.0,1.20944,0.0,2.047052,0.0,0.503933,-0.296462,0.505752,0.0,1.20944,-0.224079,1.31054,0.0,0.503933,0.291106,0.574601,0.0,1.20944,0.213934,1.218141
4.559938,2.90513,0.422515,0,1.317654,0.0,0.0,0.0,0.888601,0.0,0.911988,0.0,2.180025,0.0,2.18877,0.0,3.763826,0.0,0.911988,-0.502457,0.958386,0.0,2.18877,-0.378261,2.323898,0.0,0.911988,0.534862,1.036907,0.0,2.18877,0.401988,2.295702
8.269901,1.207657,0.463275,0,1.069401,0.0,0.0,0.0,1.607831,0.0,1.65398,0.0,3.620414,0.0,3.969552,0.0,6.281821,0.0,1.65398,-0.176005,1.776883,0.0,3.969552,-0.125544,4.098122,0.0,1.65398,0.185756,1.882376,0.0,3.969552,0.132099,4.144207
5.951814,1.34374,0.532384,0,0.588976,0.0,0.0,0.0,1.226558,0.0,1.190363,0.0,2.8701,0.0,2.856871,0.0,4.980578,0.0,1.190363,-0.11483,1.331005,0.0,2.856871,-0.088567,2.788163,0.0,1.190363,0.12494,1.279639,0.0,2.856871,0.083506,2.928569
4.446563,1.75582,0.169628,2,0.562177,0.0,0.0,0.0,1.111004,0.0,1.111641,0.0,2.665624,0.0,2.667938,0.0,4.377542,0.0,1.111641,-0.145323,1.212461,0.0,2.667938,-0.099151,2.852337,0.0,1.111641,0.143786,1.213922,0.0,2.667938,0.10496,2.716677
