base_size,layer_index,petal_index,opening_degree,tip_x,tip_y,tip_z,base_spread,base_z_offset,extrude_depth,rotation_angle
3.1216,1,0,0.781,0.0,1.824955,0.10576,0.598532,0.104682,0.034588,0.0
3.1216,1,1,0.781,0.0,1.767203,0.110005,0.600106,0.101099,0.033615,137.5
3.1216,1,2,0.781,0.0,1.768986,0.108179,0.659565,0.103357,0.035869,275.0
3.1216,1,3,0.781,0.0,1.714871,0.111237,0.639238,0.104145,0.034393,52.5
3.1216,1,4,0.781,0.0,1.790294,0.112859,0.619604,0.103976,0.032364,190.0
3.1216,2,0,0.781,0.234449,2.42127,0.145891,0.853647,0.05091,0.03711,0.0
3.1216,2,1,0.781,0.251949,2.46439,0.144076,0.882502,0.052457,0.037204,137.5
3.1216,2,2,0.781,0.237012,2.355833,0.143918,0.859838,0.052082,0.04,275.0
3.1216,2,3,0.781,0.248262,2.290944,0.149057,0.866443,0.05227,0.037642,52.5
3.1216,2,4,0.781,0.241543,2.495708,0.156931,0.887883,0.050869,0.03748,190.0
3.1216,2,5,0.781,0.234536,2.297988,0.154785,0.858747,0.051606,0.036924,327.5
3.1216,2,6,0.781,0.24426,2.545881,0.150712,0.880567,0.049946,0.038568,105.0
3.1216,2,7,0.781,0.244201,2.403595,0.157451,0.892237,0.053032,0.038668,242.5
3.1216,3,0,0.781,0.464846,3.112733,0.177173,1.06915,0.0,0.040594,0.0
3.1216,3,1,0.781,0.506053,3.139497,0.189927,1.06279,0.0,0.040434,137.5
3.1216,3,2,0.781,0.492333,3.090846,0.189804,1.110327,0.0,0.040314,275.0
3.1216,3,3,0.781,0.477252,2.96314,0.190294,1.105184,0.0,0.039735,52.5
3.1216,3,4,0.781,0.46861,3.064708,0.187205,1.101669,0.0,0.040022,190.0
3.1216,3,5,0.781,0.485265,3.008258,0.188644,1.059801,0.0,0.039914,327.5
3.1216,3,6,0.781,0.494041,3.108327,0.189061,1.044686,0.0,0.039295,105.0
3.1216,3,7,0.781,0.460536,2.845554,0.181051,1.095491,0.0,0.038694,242.5
3.1216,3,8,0.781,0.471876,2.835517,0.186046,1.102986,0.0,0.040695,20.0
3.1216,3,9,0.781,0.492784,2.993554,0.205664,1.087875,0.0,0.040142,157.5
3.1216,3,10,0.781,0.510878,3.056381,0.194635,1.082006,0.0,0.038919,295.0
3.1216,3,11,0.781,0.52878,2.970419,0.197374,1.100609,0.0,0.040518,72.5
3.1216,3,12,0.781,0.467809,3.017771,0.197203,1.12409,0.0,0.040543,210.0
3.3181,1,0,0.9586,0.0,1.876691,0.103311,0.726128,0.10185,0.037751,0.0
3.3181,1,1,0.9586,0.0,1.831566,0.108793,0.71243,0.110773,0.035708,137.5
3.3181,1,2,0.9586,0.0,1.781448,0.1045,0.705496,0.107696,0.037311,275.0
3.3181,1,3,0.9586,0.0,1.777721,0.100104,0.73933,0.11308,0.037252,52.5
3.3181,1,4,0.9586,0.0,1.817477,0.105081,0.683758,0.105658,0.036265,190.0
3.3181,2,0,0.9586,0.327547,2.362123,0.14182,0.952453,0.056505,0.039454,0.0
3.3181,2,1,0.9586,0.32072,2.335629,0.136737,0.914657,0.055002,0.040555,137.5
3.3181,2,2,0.9586,0.331223,2.319615,0.135183,0.926966,0.053438,0.03916,275.0
3.3181,2,3,0.9586,0.319019,2.357338,0.136197,0.962431,0.055399,0.037381,52.5
3.3181,2,4,0.9586,0.31536,2.49262,0.136197,0.908016,0.055848,0.041172,190.0
3.3181,2,5,0.9586,0.320436,2.510244,0.137585,0.930503,0.055298,0.039249,327.5
3.3181,2,6,0.9586,0.308569,2.290592,0.142479,0.915784,0.054428,0.040147,105.0
3.3181,2,7,0.9586,0.317046,2.404457,0.13269,0.970181,0.055249,0.039031,242.5
3.3181,3,0,0.9586,0.662466,3.095827,0.169835,1.169102,0.0,0.042373,0.0
3.3181,3,1,0.9586,0.680353,3.007386,0.176846,1.160883,0.0,0.043722,137.5
3.3181,3,2,0.9586,0.63683,3.016769,0.167676,1.200633,0.0,0.041822,275.0
3.3181,3,3,0.9586,0.620395,3.011268,0.159636,1.131544,0.0,0.041102,52.5
3.3181,3,4,0.9586,0.659196,3.036495,0.17136,1.137573,0.0,0.040785,190.0
3.3181,3,5,0.9586,0.628874,3.044917,0.157317,1.187186,0.0,0.04401,327.5
3.3181,3,6,0.9586,0.627939,2.985808,0.177198,1.107901,0.0,0.041382,105.0
3.3181,3,7,0.9586,0.644645,3.115001,0.170004,1.217066,0.0,0.043678,242.5
3.3181,3,8,0.9586,0.618999,3.06309,0.173934,1.252022,0.0,0.041687,20.0
3.3181,3,9,0.9586,0.616978,2.905815,0.18421,1.158496,0.0,0.045488,157.5
3.3181,3,10,0.9586,0.615394,3.154534,0.177823,1.195356,0.0,0.042673,295.0
3.3181,3,11,0.9586,0.621923,3.105347,0.176114,1.128594,0.0,0.044158,72.5
3.3181,3,12,0.9586,0.644879,2.971048,0.167305,1.202864,0.0,0.044769,210.0
2.9123,1,0,0.626,0.0,1.813767,0.116643,0.603061,0.092791,0.031867,0.0
2.9123,1,1,0.626,0.0,1.776913,0.124698,0.602428,0.096936,0.030738,137.5
2.9123,1,2,0.626,0.0,1.76257,0.123002,0.631576,0.097585,0.031606,275.0
2.9123,1,3,0.626,0.0,1.89094,0.120569,0.577108,0.095758,0.031472,52.5
2.9123,1,4,0.626,0.0,1.789646,0.117125,0.590004,0.1007,0.032799,190.0
2.9123,2,0,0.626,0.17916,2.314527,0.167299,0.774201,0.050868,0.034842,0.0
2.9123,2,1,0.626,0.190611,2.314068,0.150005,0.810118,0.047016,0.034894,137.5
2.9123,2,2,0.626,0.181585,2.387012,0.158459,0.838137,0.049564,0.033867,275.0
2.9123,2,3,0.626,0.181798,2.401449,0.159689,0.839659,0.047897,0.034521,52.5
2.9123,2,4,0.626,0.190884,2.518202,0.157219,0.773679,0.048179,0.032923,190.0
2.9123,2,5,0.626,0.179683,2.352643,0.15264,0.754427,0.050592,0.035315,327.5
2.9123,2,6,0.626,0.182305,2.343544,0.162227,0.788488,0.04877,0.034607,105.0
2.9123,2,7,0.626,0.177845,2.399274,0.153161,0.800463,0.049743,0.034833,242.5
2.9123,3,0,0.626,0.359129,2.86911,0.202073,1.015537,0.0,0.037516,0.0
2.9123,3,1,0.626,0.352203,3.000473,0.193484,0.963285,0.0,0.038759,137.5
2.9123,3,2,0.626,0.370608,3.000855,0.207513,1.021724,0.0,0.038096,275.0
2.9123,3,3,0.626,0.370792,2.90016,0.206901,0.98971,0.0,0.038289,52.5
2.9123,3,4,0.626,0.379,2.911392,0.198742,1.013911,0.0,0.038331,190.0
2.9123,3,5,0.626,0.381557,2.973394,0.214201,0.963979,0.0,0.03754,327.5
2.9123,3,6,0.626,0.379452,3.067291,0.203644,1.047606,0.0,0.036897,105.0
2.9123,3,7,0.626,0.360825,2.941759,0.194369,0.967574,0.0,0.03638,242.5
2.9123,3,8,0.626,0.367882,2.9641,0.207629,1.028652,0.0,0.037868,20.0
