base_size,layer_index,petal_index,opening_degree,cp1_x,cp1_y,cp2_x,cp2_y,cp3_x,cp3_y,cp4_x,cp4_y,cp5_x,cp5_y,extrude_depth
3.93695,0,0,0.363345,-0.245688,0.0,-0.519729,1.437428,-0.00412,3.461603,0.494856,1.388638,0.249522,0.0,0.017514
3.93695,0,1,0.363345,-0.249863,0.0,-0.491188,1.357751,0.010722,3.325033,0.519151,1.354026,0.255482,0.0,0.018021
3.93695,0,2,0.363345,-0.254355,0.0,-0.500112,1.385486,0.005658,3.647061,0.554927,1.369033,0.254016,0.0,0.017315
3.93695,0,3,0.363345,-0.236162,0.0,-0.520462,1.422492,-0.00262,3.503528,0.529426,1.33959,0.255623,0.0,0.017228
3.93695,0,4,0.363345,-0.242649,0.0,-0.521942,1.411185,-0.001161,3.524674,0.513488,1.423624,0.263614,0.0,0.017565
3.93695,1,0,0.363345,-0.286799,0.0,-0.583385,1.524565,0.0301,3.978285,0.563794,1.58879,0.281442,0.0,0.015569
3.93695,1,1,0.363345,-0.273883,0.0,-0.56055,1.490159,0.037139,3.87751,0.560197,1.410065,0.297647,0.0,0.01578
3.93695,1,2,0.363345,-0.286239,0.0,-0.571026,1.499526,0.026943,3.786164,0.640131,1.598949,0.284642,0.0,0.015397
3.93695,1,3,0.363345,-0.282594,0.0,-0.588998,1.448972,0.024508,4.043909,0.572141,1.585476,0.27525,0.0,0.015061
3.93695,1,4,0.363345,-0.289355,0.0,-0.580386,1.448816,0.026501,3.753115,0.578388,1.552199,0.294589,0.0,0.015287
3.93695,1,5,0.363345,-0.280567,0.0,-0.56375,1.573719,0.028774,3.855073,0.562464,1.575616,0.289758,0.0,0.015697
3.93695,1,6,0.363345,-0.293007,0.0,-0.574591,1.470237,0.030423,4.007557,0.545188,1.593764,0.298854,0.0,0.015822
3.93695,1,7,0.363345,-0.280208,0.0,-0.578269,1.563346,0.02694,4.053747,0.562886,1.555195,0.272651,0.0,0.015935
3.93695,2,0,0.363345,-0.307863,0.0,-0.653603,1.666851,0.056267,4.228785,0.631934,1.838441,0.322797,0.0,0.014375
3.93695,2,1,0.363345,-0.319089,0.0,-0.636442,1.792438,0.053626,4.078184,0.629171,1.641518,0.30687,0.0,0.01435
3.93695,2,2,0.363345,-0.315945,0.0,-0.662818,1.788686,0.05089,3.999992,0.648141,1.624975,0.320368,0.0,0.013942
3.93695,2,3,0.363345,-0.306605,0.0,-0.617433,1.794639,0.065324,4.078074,0.670495,1.761678,0.310775,0.0,0.014616
3.93695,2,4,0.363345,-0.306857,0.0,-0.618743,1.675783,0.045604,4.348532,0.631331,1.685085,0.343241,0.0,0.01389
3.93695,2,5,0.363345,-0.320064,0.0,-0.606679,1.732457,0.064028,4.311409,0.630025,1.784561,0.318581,0.0,0.013648
3.93695,2,6,0.363345,-0.318729,0.0,-0.637897,1.751823,0.056197,4.348012,0.653621,1.769619,0.319607,0.0,0.013904
3.93695,2,7,0.363345,-0.305335,0.0,-0.633059,1.755159,0.054465,4.283053,0.624243,1.747708,0.314454,0.0,0.013331
3.93695,2,8,0.363345,-0.327214,0.0,-0.655561,1.688035,0.056263,4.404712,0.654463,1.830498,0.322828,0.0,0.013488
3.93695,2,9,0.363345,-0.323055,0.0,-0.641271,1.716009,0.062901,4.351571,0.614605,1.722258,0.331847,0.0,0.013939
3.93695,2,10,0.363345,-0.318285,0.0,-0.639673,1.724889,0.047605,4.082767,0.62502,1.673469,0.307335,0.0,0.013432
3.93695,2,11,0.363345,-0.3219,0.0,-0.611898,1.719183,0.060502,4.472584,0.610131,1.648468,0.337509,0.0,0.013811
