base_size,layer_index,petal_index,opening_degree,cp1_x,cp1_y,cp2_x,cp2_y,cp3_x,cp3_y,cp4_x,cp4_y,cp5_x,cp5_y,cp6_x,cp6_y,cp7_x,cp7_y,cp8_x,cp8_y,extrude_depth
2.13611,0,0,0.463469,-0.165589,0.0,-0.216996,0.457493,-0.161346,1.022009,-0.092309,1.703681,0.000721,1.801125,0.097565,1.771342,0.164603,1.090029,0.218795,0.467014,0.009283
2.13611,0,1,0.463469,-0.152795,0.0,-0.211727,0.453377,-0.165422,1.080921,-0.099542,1.732064,-0.001503,1.85237,0.101317,1.703144,0.163788,1.074165,0.232686,0.432217,0.009231
2.13611,0,2,0.463469,-0.159187,0.0,-0.23972,0.456413,-0.161892,1.161698,-0.094815,1.621012,-0.00342,1.836132,0.093961,1.651957,0.161993,1.105616,0.225562,0.438406,0.008979
2.13611,0,3,0.463469,-0.167694,0.0,-0.221671,0.45416,-0.16025,1.096557,-0.095457,1.675659,-0.00042,1.786975,0.099039,1.741312,0.161689,1.066352,0.224543,0.486213,0.009172
2.13611,0,4,0.463469,-0.166051,0.0,-0.228944,0.446147,-0.167798,1.070231,-0.099145,1.628115,-0.00237,1.92797,0.094076,1.807319,0.167191,1.099329,0.224475,0.457837,0.009336
2.13611,1,0,0.463469,-0.181417,0.0,-0.266778,0.51544,-0.183473,1.283008,-0.106791,1.946358,0.020189,1.982245,0.10839,1.995225,0.187663,1.171834,0.260478,0.522704,0.007799
2.13611,1,1,0.463469,-0.178352,0.0,-0.256222,0.525927,-0.182209,1.227448,-0.108662,2.031983,0.01699,2.039249,0.108911,2.108007,0.187678,1.214265,0.256996,0.520636,0.008633
2.13611,1,2,0.463469,-0.180336,0.0,-0.253531,0.509804,-0.184589,1.216743,-0.115353,1.966585,0.017022,2.07829,0.109464,1.83748,0.182048,1.229083,0.249035,0.521791,0.008551
2.13611,1,3,0.463469,-0.174385,0.0,-0.257854,0.507992,-0.189843,1.174862,-0.109252,2.030883,0.026196,2.000153,0.110464,1.873076,0.193546,1.189335,0.239664,0.495414,0.007748
2.13611,1,4,0.463469,-0.190523,0.0,-0.263918,0.512434,-0.186907,1.173413,-0.106235,2.003248,0.019578,2.145669,0.110606,1.989836,0.19142,1.202265,0.266838,0.512167,0.008211
2.13611,1,5,0.463469,-0.183471,0.0,-0.264309,0.501464,-0.192198,1.238723,-0.113735,1.956776,0.018626,1.998798,0.110422,1.977927,0.177846,1.252852,0.259597,0.520388,0.007979
2.13611,1,6,0.463469,-0.181787,0.0,-0.256111,0.488262,-0.179331,1.25566,-0.111842,1.894635,0.024676,2.017751,0.115109,1.858841,0.190892,1.211714,0.246928,0.526664,0.008321
2.13611,1,7,0.463469,-0.184839,0.0,-0.261254,0.478836,-0.184194,1.142565,-0.111947,2.131722,0.022275,1.922552,0.108791,1.993985,0.193237,1.185677,0.247956,0.514643,0.008557
2.13611,2,0,0.463469,-0.202317,0.0,-0.296476,0.573061,-0.204187,1.308335,-0.121505,2.191514,0.04314,2.296984,0.130712,2.249263,0.191882,1.340897,0.273501,0.545477,0.007479
2.13611,2,1,0.463469,-0.210802,0.0,-0.29827,0.58496,-0.200107,1.394972,-0.126048,2.262589,0.035453,2.329277,0.120623,2.125851,0.195414,1.287349,0.284,0.54353,0.007254
2.13611,2,2,0.463469,-0.213859,0.0,-0.290152,0.565145,-0.2012,1.285453,-0.128133,2.10865,0.039136,2.218075,0.123297,2.346433,0.206666,1.321387,0.291719,0.555083,0.007594
2.13611,2,3,0.463469,-0.202001,0.0,-0.296216,0.54988,-0.215379,1.341165,-0.121422,2.175518,0.040585,2.317342,0.121535,2.257986,0.207651,1.33084,0.283548,0.564156,0.007174
2.13611,2,4,0.463469,-0.204246,0.0,-0.284662,0.567321,-0.195273,1.382003,-0.122608,2.312634,0.032789,2.265475,0.122855,2.19401,0.207327,1.392815,0.286204,0.555251,0.007496
2.13611,2,5,0.463469,-0.197964,0.0,-0.287129,0.563043,-0.206592,1.377786,-0.122215,2.340092,0.038343,2.238158,0.12212,2.185551,0.215613,1.392419,0.276454,0.553975,0.007257
2.13611,2,6,0.463469,-0.204524,0.0,-0.28514,0.589017,-0.193424,1.293151,-0.124599,2.149404,0.034744,2.212926,0.122245,2.24031,0.199886,1.352593,0.287828,0.570357,0.007143
2.13611,2,7,0.463469,-0.200259,0.0,-0.287868,0.570749,-0.202827,1.321734,-0.122043,2.258763,0.040229,2.378796,0.124113,2.269118,0.209248,1.299309,0.275148,0.539365,0.007663
2.13611,2,8,0.463469,-0.206179,0.0,-0.278941,0.57046,-0.209503,1.325297,-0.12665,2.416995,0.037856,2.268245,0.127208,2.240358,0.20142,1.333913,0.275857,0.554195,0.00729
2.13611,2,9,0.463469,-0.207744,0.0,-0.287377,0.553763,-0.202719,1.394188,-0.126586,2.22646,0.0439,2.343198,0.123491,2.125494,0.192378,1.355952,0.272456,0.616034,0.007275
2.13611,2,10,0.463469,-0.205397,0.0,-0.291122,0.555631,-0.215081,1.432441,-0.12268,2.24613,0.035903,2.250546,0.121792,2.145851,0.208054,1.31564,0.285057,0.542631,0.007466
2.13611,2,11,0.463469,-0.20025,0.0,-0.306264,0.576009,-0.196236,1.322589,-0.123797,2.203183,0.038893,2.3387,0.125748,2.296832,0.196586,1.369328,0.290459,0.574664,0.007286
2.13611,2,12,0.463469,-0.209018,0.0,-0.293435,0.595693,-0.203538,1.436139,-0.123936,2.274484,0.039746,2.292257,0.117557,2.265513,0.196329,1.285383,0.281878,0.582201,0.007007
7.496468,0,0,0.660793,-0.60549,0.0,-0.787913,1.502439,-0.632721,3.578487,-0.360468,5.634726,0.007411,6.222547,0.345738,5.83311,0.569554,3.528737,0.817039,1.569282,0.030365
7.496468,0,1,0.660793,-0.614967,0.0,-0.833112,1.519289,-0.545025,3.601766,-0.360509,5.653243,0.004158,6.404105,0.361843,5.619731,0.624039,3.605327,0.824104,1.615954,0.029883
7.496468,0,2,0.660793,-0.576517,0.0,-0.843214,1.531346,-0.583936,3.555795,-0.344065,5.495561,-0.002696,5.957005,0.359829,5.631399,0.592102,3.608765,0.81307,1.521238,0.031163
7.496468,0,3,0.660793,-0.616291,0.0,-0.847364,1.548794,-0.575557,3.79935,-0.337671,5.683681,-0.015358,5.771776,0.357321,5.734569,0.596494,3.597692,0.830837,1.526632,0.029301
7.496468,0,4,0.660793,-0.610685,0.0,-0.850115,1.568005,-0.603917,3.553443,-0.339587,5.721713,-0.004535,6.275642,0.372468,5.633089,0.604742,3.509007,0.868794,1.446435,0.029977
7.496468,1,0,0.660793,-0.660349,0.0,-0.946138,1.644508,-0.656589,4.291511,-0.389133,6.460535,0.091603,6.85998,0.415834,6.319094,0.690138,4.040559,0.935248,1.704101,0.026082
7.496468,1,1,0.660793,-0.688729,0.0,-0.974357,1.765492,-0.653513,3.901505,-0.394331,6.472168,0.086741,6.754311,0.408657,6.549708,0.648306,3.997896,0.950291,1.703158,0.026824
7.496468,1,2,0.660793,-0.660794,0.0,-0.987347,1.700541,-0.696416,4.089831,-0.391029,6.807821,0.1008,6.825858,0.411414,6.441547,0.63682,4.077326,0.953306,1.695077,0.027307
7.496468,1,3,0.660793,-0.67409,0.0,-0.931959,1.68403,-0.664296,4.156633,-0.40868,6.544387,0.10486,7.003771,0.422149,6.661456,0.707424,4.144248,0.921362,1.696325,0.026855
7.496468,1,4,0.660793,-0.646608,0.0,-0.893862,1.629717,-0.653929,3.954836,-0.40972,6.342274,0.101599,7.134309,0.377119,6.539985,0.68177,3.767316,0.974225,1.754609,0.028413
7.496468,1,5,0.660793,-0.676722,0.0,-0.894195,1.693774,-0.66555,4.141545,-0.398325,6.6671,0.111546,6.455275,0.383197,6.798736,0.700002,4.099669,0.912448,1.822045,0.026123
7.496468,1,6,0.660793,-0.685922,0.0,-0.927468,1.710139,-0.640605,3.947898,-0.400756,6.182112,0.098456,7.005304,0.392422,6.476861,0.65595,4.060237,0.929053,1.703564,0.027519
7.496468,1,7,0.660793,-0.684885,0.0,-0.915759,1.592408,-0.650867,3.955849,-0.402137,6.512831,0.099198,6.905328,0.418955,6.321851,0.693204,4.041882,0.945437,1.657301,0.026648
7.496468,2,0,0.660793,-0.740833,0.0,-1.050329,1.877146,-0.755627,4.434244,-0.444323,7.835227,0.210761,7.693302,0.453183,7.305818,0.706603,4.57172,1.070432,1.887631,0.022997
7.496468,2,1,0.660793,-0.725992,0.0,-0.984634,1.779727,-0.725717,4.448276,-0.457102,7.499871,0.191239,7.242147,0.432534,7.251144,0.733035,4.556399,1.050654,1.915818,0.023425
7.496468,2,2,0.660793,-0.717691,0.0,-1.082834,1.79103,-0.703858,4.451035,-0.452308,7.207342,0.187433,7.77484,0.423769,7.396516,0.719627,4.399796,1.034478,1.815503,0.025269
7.496468,2,3,0.660793,-0.744716,0.0,-0.997932,1.803337,-0.724428,4.541905,-0.452917,7.509588,0.199878,7.321894,0.457619,7.022128,0.766159,4.584751,1.097012,1.917682,0.024191
7.496468,2,4,0.660793,-0.736398,0.0,-0.934656,1.944825,-0.808875,4.497209,-0.456693,7.778803,0.208779,7.763757,0.432844,7.334694,0.730632,3.918524,1.036712,1.893372,0.022967
7.496468,2,5,0.660793,-0.737237,0.0,-1.000167,1.920015,-0.753233,4.589416,-0.44323,7.416658,0.174367,7.708577,0.443604,7.360918,0.768251,4.576163,1.019777,1.824133,0.024131
